Sentence,Topic scores,Assigned topic
"['contribute', 'efficient', 'genomic', 'prediction', 'flowering', 'time', 'facilitate', 'dissemination', 'diverse', 'maize', 'genetic', 'resource', 'wide', 'range', 'environment', '.']","[0.31141771623896125, 0.15236935117741143, 0.16940109780885285, 0, 0, 0, 0.46378706741637266, 0, 0.31141771623896125, 0]",6
"['Citation', ':', 'Bouchet', ',', 'Servin', 'B', ',', 'Bertin', 'P', ',', 'Madur', ',', 'Combes', 'V', ',', 'et', 'al', '.']","[0, 0.4536849012888355, 0, 0, 0, 0, 0, 0.4536849012888355, 0, 0.4536849012888355]",8
"['(', '2013', ')', 'Adaptation', 'Maize', 'Temperate', 'Climates', ':', 'Mid-Density', 'Genome-Wide', 'Association', 'Genetics', 'Diversity', 'Patterns', 'Reveal', 'Key', 'Genomic', 'Regions', ',', 'Major', 'Contribution', 'Vgt2', '(', 'ZCN8', ')', 'Locus', '.']","[0.19856120053604448, 0.13514469294031461, 0.3092313591384642, 0.17693364663663372, 0, 0, 0.28836939774097714, 0, 0.15200868469893689, 0.19669455734972063]",5
"['PLoS', 'ONE', '8', '(', '8', ')', ':', 'e71377', '.']","[1.413487332920597, 0, 0, 0, 0, 0, 0, 0, 0, 0.6840855571337395]",0
"['doi:10.1371/', 'journal.pone.0071377', 'Editor', ':', 'James', 'C.', 'Nelson', ',', 'Kansas', 'State', 'University', ',', 'United', 'States', 'America', 'Received', 'December', '7', ',', '2012', ';', 'Accepted', 'July', '1', ',', '2013', ';', 'Published', 'August', '30', ',', '2013', 'Copyright', ':', '(', 'cid:2', ')', '2013', 'Bouchet', 'et', 'al', '.']","[0.3996828788679795, 0.21660650969805242, 0, 0, 0, 0, 0.13454119754668903, 0.21660650969805242, 0, 0.21660650969805242]",1
"['open-access', 'article', 'distributed', 'term', 'Creative', 'Commons', 'Attribution', 'License', ',', 'permit', 'unrestricted', 'use', ',', 'distribution', ',', 'reproduction', 'medium', ',', 'provided', 'original', 'author', 'source', 'credited', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"['Funding', ':', 'Phenotyping', 'experimentation', 'funded', 'INRA', ',', 'Genoplante', ',', 'Gabi-Genoplante', 'project', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5
"['Genotyping', 'funded', 'INRA', 'CornFed', 'trilateral', 'project', '(', 'jointly', 'funded', 'French', 'ANR', ',', 'German', 'BMBF', 'Spanish', 'MICINN', ')', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['Sophie', 'Bouchet', 'funded', 'ANR', 'project', 'Hypermaize', 'CornFed', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3
"['funders', 'role', 'study', 'design', ',', 'data', 'collection', 'analysis', ',', 'decision', 'publish', ',', 'preparation', 'manuscript', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
"['Competing', 'Interests', ':', 'author', 'declared', 'competing', 'interest', 'exist', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",9
"['*', 'E-mail', ':', 'alain.charcosset', '@', 'moulon.inra.fr', '¤', 'Current', 'address', ':', 'Euralis', ',', 'Domaine', 'de', 'Sandreau', ',', 'Mondonville', ',', 'France', 'Introduction', 'Maize', 'domesticated', 'tropical', 'condition', 'lowland', 'southwest', 'Mexico', 'later', 'adapted', 'broadest', 'range', 'climatic', 'condition', 'crop', ',', '40uS', 'Chile', '50uN', 'Canada', 'Russia', ',', 'sea', 'level', 'West', 'Indies', 'elevation', '3400', 'Andes', '[', '1–4', ']', '.']","[0, 0.076140455594487, 0, 0, 0, 0, 0.076140455594487, 0, 0, 0]",3
"['Maize', 'high', 'molecular', 'diversity', ',', 'landraces', 'pooling', 'nucleotide', 'diversity', '(', '83', '%', ')', 'wild', 'ancestor', ',', 'contrary', 'many', 'specie', '[', '1', ']', '.']","[0, 0.1510174786772119, 0.35906833828430984, 0, 0, 0, 0.1510174786772119, 0, 0, 0]",0
"['illustrates', 'limited', 'bottleneck', 'occurred', 'domestication', '[', '2–4', ']', ',', 'probably', 'due', 'landrace', 'outcrossing', 'mating', 'system', 'continuous', 'gene', 'flow', 'cultivated', 'wild', 'Zea', 'may', 'L.', 'subspecies', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3
"['Modern', 'breeding', 'seems', 'little', 'impact', 'genome-wide', 'diversity', 'mostly', 'affected', 'gene', 'already', 'undergone', 'selection', 'domestication', '[', '1,2', ']', '.']","[0, 0, 0.3899871254183994, 0, 0, 0, 0, 0, 0.205514018691903, 0]",1
"['Despite', 'limited', 'loss', 'diversity', ',', 'phenotype', 'large-scale', 'migration/', 'dramatically', 'modified', 'domestication', ',', 'adaptation', 'selection', 'cycle', 'gave', 'rise', 'modern', 'hybrid', '.']","[0, 0, 0.14918826344943828, 0, 0, 0, 0, 0, 0.15131795833433406, 0]",2
"['particular', ',', 'flowering', 'time', 'evolved', 'adapt', 'short', 'growing', 'season', ',', 'temperate', 'long', 'day', 'low', 'temperature', 'climate', '.']","[0.29767506885124473, 0, 0, 0, 0, 0, 0.29767506885124473, 0, 0.29767506885124473, 0]",5
"['Among', 'germplasm', 'available', ',', 'maize', 'landraces', ',', 'time', 'planting', 'mature', 'grain', 'stage', 'range', '2', '11', 'month', '[', '3', ']', '.']","[0.1630022719782788, 0.15615721929717946, 0, 0, 0, 0, 0.3191594912754583, 0, 0.1630022719782788, 0.2516689453900142]",8
"['Silk', 'emergence', 'date', '(', 'female', 'flowering', ')', 'varies', '32', 'day', 'among', 'founder', 'line', 'thenested', 'association', 'mapping', '(', 'NAM', ')', 'population', '28', 'day', 'among', 'recombinant', 'inbred', 'line', 'derived', 'parent', '[', '4', ']', '.']","[0.11400698964924481, 0, 0, 0, 0, 0, 0.11400698964924481, 0, 0.24224030881273328, 0]",2
"['PLOS', 'ONE', '|', 'www.plosone.org', '1', 'August', '2013', '|', 'Volume', '8', '|', 'Issue', '8', '|', 'e71377', 'optimal', 'moment', 'Flowering', 'time', 'play', 'key', 'role', 'acclimation', 'plant', 'different', 'environment', 'integrating', 'diverse', 'environmental', 'endogenous', 'signal', 'control', 'transition', 'vegetative', 'reproductive', 'phase', '.']","[1.142329300645221, 0, 0, 0.15091013897118022, 0, 0, 0.213858726499549, 0, 0.213858726499549, 0.147101213838513]",6
"['allows', 'plant', 'avoid', 'drought', 'thus', 'kernel', 'abortion', ',', 'optimize', 'light', 'interception', 'period', 'yield', 'instance', '.']","[0, 0, 0, 0.21117087028505163, 0, 0, 0, 0, 0, 0]",3
"['synchrony', 'male', 'female', 'flowering', 'also', 'important', 'adaptive', 'trait', 'maize', 'high', 'asynchrony', 'result', 'yield', 'loss', ',', 'especially', 'modern', 'uniform', 'variety', '[', '5', ']', '.']","[0.13636239284299767, 0.13636239284299767, 0, 0, 0, 0, 0.46142766685911796, 0, 0.13636239284299767, 0]",1
"['Compared', 'specie', 'like', 'Arabidopsis', '[', '6', ']', 'sorghum', '[', '7', ']', 'rice', '[', '8,9', ']', ',', 'natural', 'variation', 'limited', 'number', 'gene', 'shown', 'large', 'effect', ',', 'flowering', 'time', 'architecture', 'maize', 'complex', '.']","[0.30081626265470907, 0.14718230972171453, 0, 0, 0, 0.1792208266525772, 0.4479985723764236, 0, 0.30081626265470907, 0]",6
"['Several', 'ten', 'small', 'effect', 'suggests', 'QTLs', 'detected', '[', '4,10', ']', '.']","[0, 0, 0, 0, 0, 0.3299372503512655, 0, 0, 0, 0]",5
"['maize', 'flowering', 'involves', 'network', 'gene', 'interacting', 'many', 'signaling', 'pathway', '.']","[0.20521777841914246, 0.20521777841914246, 0, 0, 0, 0, 0.4104355568382849, 0, 0.20521777841914246, 0]",8
"['Among', 'locus', 'highlighted', ',', 'maize', 'INDETERMINATE1', '(', 'ID1', ')', 'gene', 'important', 'regulator', 'maize', 'autonomous', 'flowering', 'act', 'leaf', 'mediate', 'expression', 'mobile', 'signal', 'hypothetical', 'flowering', 'hormone', 'called', 'florigens', '[', '11,12,13', ']', 'promote', 'flowering', 'shoot', 'apical', 'meristem', '.']","[0.29259290331746285, 0.19506193554497522, 0, 0, 0, 0, 0.5982337555829215, 0, 0.29259290331746285, 0.15718463682077596]",9
"['ZCN8', 'found', 'controlled', 'ID1', 'express', 'florigen', 'leaf', '[', '14', ']', '.']","[0, 0, 0, 0, 0, 0, 0, 0.35018041022072743, 0, 0.3016599433243309]",8
"['homologous', 'Arabidopsis', 'FLOWERING', 'LOCUS', '(', 'FT', ')', ',', 'kinase', 'regulator', '[', '15', ']', '.']","[0.20890766882477338, 0, 0, 0, 0, 0, 0.4457635540973626, 0, 0.20890766882477338, 0]",6
"['FT', 'key', 'integrator', 'almost', 'flowering', 'pathway', '(', 'autonomous', ',', 'gibberellin', ',', 'photoperiod', 'vernalization', ')', 'converge', ',', 'FT', 'transmits', 'floral', 'inductive', 'signal', 'downstream', 'floral', 'identity', 'gene', '[', '16', ']', '.']","[0.10805225139139285, 0, 0, 0, 0, 0, 0.10805225139139285, 0, 0.10805225139139285, 0]",2
"['maize', ',', 'family', '25', 'FT', 'homologues', 'including', 'ZCN8', 'published', '[', '17', ']', '.']","[0, 0.19779848736023875, 0, 0, 0, 0, 0.19779848736023875, 0, 0.314427390022682, 0.6113635501039956]",0
"['named', 'Zea', 'CENTRORADIALIS', '(', 'ZCN', ')', 'gene', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4
"['Expression', 'analysis', 'demonstrated', 'involved', 'developmental', 'process', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
"['second', 'gene', 'shown', 'major', 'downstream', 'effect', 'Dfl1', '(', 'Delayed', 'flowering1', ')', ',', 'transcription', 'factor', 'express', 'shoot', 'apical', 'region', '[', '18', ']', '.']","[0.16697619291056903, 0, 0, 0, 0, 0.16943113049295078, 0, 0, 0, 0]",0
"['Mutants', ',', 'however', ',', 'exhibit', 'le', 'severe', 'flowering', 'time', 'defect', 'compared', 'ID1', '.']","[0.39258423855798963, 0, 0, 0, 0, 0, 0.39258423855798963, 0, 0.39258423855798963, 0]",0
"['Another', 'major', 'factor', 'flowering', 'time', 'variation', ',', 'Vgt1', ',', 'detected', 'linkage-based', 'QTL', 'analysis', 'association', 'genetics', 'study', '[', '4,10,19,20,21,22,23,24', ']', '.']","[0.30186745159545714, 0, 0, 0.6649956345188852, 0.24154360122153162, 0, 0.30186745159545714, 0, 0.6917573611178918, 0.24953883327315882]",8
"['cloned', 'described', 'regulatory', 'factor', 'control', 'expression', 'Apetala2-like', 'gene', ',', 'ZmRap2.7', '[', '24', ']', '.']","[0, 0, 0, 0.27477733457452747, 0, 0, 0, 0, 0, 0]",8
"['investigation', 'identify', 'main', 'factor', 'controlling', 'maize', 'flowering', 'time', 'panel', 'representative', 'diverse', 'migration', 'route', 'would', 'beneficial', ':', '(', ')', 'gain', 'insight', 'adaptation', 'mechanism', 'changing', 'environment', ',', '(', 'ii', ')', 'identify', 'allele', 'introgression', 'existing', 'variety', 'order', 'adapt', 'better', 'predict', 'different', 'environmental', 'condition', ',', '(', 'iii', ')', 'flowering', 'time', 'benefit', 'global', 'crop', 'management', 'local', 'breeding', 'program', ',', 'since', 'flowering', 'time', 'often', 'considered', 'major', 'covariate', 'yield', 'estimation', '.']","[0.4643486653206157, 0.07573162044160264, 0, 0, 0, 0.08842527236706649, 0.5400802857622183, 0, 0.4643486653206157, 0]",8
"['latter', 'objective', 'presently', 'approached', 'genomic', 'selection', 'model', '.']","[0, 0, 0, 0, 0, 0, 0.2566001083373731, 0, 0.27508261564103786, 0]",8
"['choice', 'suitable', 'model', 'consider', 'complexity', 'trait', 'architecture', 'term', 'relative', 'individual', 'effect', 'locus', 'possible', 'existence', 'non-additive', 'effect', 'due', 'interaction', 'genetic', 'background', '(', 'GxQ', 'epistasis', ')', 'gene-environment', 'interaction', '(', 'GxE', ')', '[', '25,26,27', ']', '.']","[0, 0, 0.11252127564968231, 0, 0, 0.246478420762445, 0.36864114961233935, 0.177700443362006, 0.16088422009833434, 0]",6
"['maize', ',', 'neither', 'Buckler', 'et', 'al', '.']","[0, 1.2981655169637965, 0, 0, 0, 0, 0.38307974801583616, 0.9150857689479603, 0, 0.9150857689479603]",2
"['[', '4', ']', 'Steinhoff', 'et', 'al', '.']","[0, 1.68057110032376, 0, 0, 0, 0, 0, 0.9227948721810717, 0, 0.9227948721810717]",1
"['[', '28', ']', 'identified', 'major', 'effect', 'GxQ', 'GxE', 'interaction', 'photoperiod', 'insensitive', 'QTLs', 'flowering', 'time', '.']","[0.3459970444797704, 0, 0, 0, 0, 0.20613871000116374, 0.3459970444797704, 0, 0.3459970444797704, 0]",5
"['concluded', 'simple', 'additive', 'model', 'accurately', 'predict', 'flowering', 'time', ',', 'contrast', 'genetic', 'architecture', 'observed', 'selfing', 'plant', 'specie', 'like', 'rice', 'Arabidopsis', '.']","[0.28668738630975815, 0, 0.15594860355201515, 0.20230193089352969, 0, 0, 0.44446024451999144, 0, 0.28668738630975815, 0]",3
"['Steinhoff', 'et', 'al', '.']","[0, 1.68057110032376, 0, 0, 0, 0, 0, 0.9227948721810717, 0, 0.9227948721810717]",1
"['[', '28', ']', ',', 'however', 'observed', 'region', 'presenting', 'epistatic', 'interaction', 'chromosome', '4', '8', ',', 'chromosome', '9', 'chromosome', '2', ',', '7', '8', ',', 'question', 'generally', 'remain', 'open', '.']","[0.7047679612453399, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
"['Genome', 'Scan', 'Flowering', 'Time', 'Adaptation', 'Maize', 'High', 'density', 'genotyping', 'tool', 'available', 'today', 'expected', 'help', 'discovery', ',', 'fine', 'mapping', 'allele', 'diversity', 'character-', 'ization', 'region', 'involved', 'flowering', 'time', '.']","[0.65150708423902, 0.12321170334928791, 0.28192688635796065, 0, 0, 0.1438636643972545, 0.6268603305101544, 0, 0.5036486271608666, 0]",0
"['However', ',', 'choice', 'panel', 'important', 'level', 'polymorphism', 'genetic', 'group', 'determine', 'power', 'analysis', '.']","[0, 0, 0.45415809092748227, 0, 0, 0.22930409357465467, 0, 0, 0, 0]",8
"['domesticated', 'specie', 'like', 'maize', ',', 'locus', 'critical', 'local', 'adaptation', 'yield', 'performance', ',', 'flowering', 'time', 'locus', ',', 'often', 'target', 'natural', 'artificial', 'selection', ',', 'leading', 'complex', 'form', 'allele', 'sharing', 'admixture', 'among', 'diverse', 'genetic', 'group', '.']","[0.23687385706547265, 0.11589679722736813, 0.26025344064347333, 0, 0, 0.2667244553573365, 0.6155742044159445, 0, 0.37662235532520016, 0]",8
"['Differentiation', 'flowering', 'time', 'maize', 'genetic', 'group', 'actually', 'clear', 'QTL', 'level', '[', '29,30', ']', '.']","[0.3954123126101875, 0.19346592816750088, 0.43443973135942165, 0.2963875594587871, 0, 0.21934830800602273, 0.8759304437743545, 0, 0.3954123126101875, 0.347355724465225]",2
"['Genome-', 'wide', 'association', 'mapping', 'selection', 'scan', 'provide', 'complementary', 'information', 'help', 'decipher', 'architecture', 'adaptive', 'trait', '.']","[0, 0, 0.17857488639462352, 0, 0, 0, 0.22479168369425187, 0, 0.37858329030223925, 0]",8
"['example', ',', 'case', 'extreme', 'differentiation', 'leading', 'fixation', 'different', 'allele', 'different', 'group', ',', 'locus', 'undetectable', 'association', 'genetics', 'approach', 'used', 'include', 'structure', 'model', ',', 'show', 'significant', 'test', 'selection', '.']","[0, 0, 0.3058465165213221, 0.17693927178085955, 0, 0.31103137862736085, 0.49524054711961935, 0, 0.31497633242064793, 0]",2
"['proven', 'efficient', 'study', 'thus', 'designed', 'ass', 'potential', 'currently', 'available', 'mid-density', 'array', '[', '31', ']', 'order', 'gain', 'insight', 'maize', 'flowering', 'time', 'architecture', '.']","[0.2680041722780379, 0.131128126992972, 0, 0, 0, 0, 0.3991322992710099, 0, 0.2680041722780379, 0]",4
"['analyzed', 'panel', 'line', 'adapted', 'different', 'representing', 'broad', 'range', 'line', ',', 'Corn-Belt', 'Dents', 'Stiff', 'Stalk', ',', 'environment', '(', 'tropical', 'Northern', 'European', 'Flints', ')', 'previous', 'flowering', 'time', 'candidate', 'gene-based', 'association', 'study', '[', '21,30,32', ']', '.']","[0.22573426765136542, 0, 0, 0, 0, 0, 0.3896075633346067, 0, 0.3499627559074512, 0]",8
"['therefore', 'first', 'compared', 'structure', 'panel', 'obtained', 'different', 'marker', 'set', 'order', 'use', 'appropriate', 'one', 'statistical', 'analysis', '.']","[0, 0, 0.6714497591505443, 0, 0.19185265743522198, 0, 0.19185265743522198, 0, 0, 0]",2
"['order', 'determine', 'extent', 'variation', 'LD', '[', '33', ']', 'estimate', 'number', 'marker', 'required', 'cover', 'genome', 'future', 'exhaustive', 'genome', 'scan', ',', 'looked', 'LD', 'using', 'unbiased', 'measure', 'extract', 'part', 'correlation', 'allelic', 'frequency', 'due', 'intrinsic', 'structure', 'panel', '[', '34', ']', '.']","[0, 0, 0.7253651727433044, 0, 0.10594969199423189, 0, 0.10594969199423189, 0, 0, 0]",2
"['looked', 'diversity', ',', 'LD', 'pattern', 'selection', 'signature', 'along', 'genome', '.']","[0, 0, 0.883567660925971, 0, 0, 0, 0, 0, 0.3038958396397192, 0]",2
"['conducted', 'association', 'study', 'focused', 'female', '(', 'FFLW', ')', 'male', 'flowering', '(', 'MFLW', ')', 'date', 'anthesis-to-silking', 'date', 'interval', '(', 'ASI', ')', '.']","[0.13456355930406963, 0, 0, 0, 0, 0, 0.13456355930406963, 0, 0.2859185937725907, 0]",6
"['selection', 'test', 'association', 'study', 'result', 'considered', 'identify', 'key', 'genomic', 'region', 'involved', 'adaptation', '.']","[0.2349584039670824, 0, 0, 0, 0, 0, 0, 0, 0.45631200418372553, 0]",2
"['compared', 'diversity', 'recombination', 'pattern', 'flowering', 'time', 'QTLs', 'compared', 'rest', 'genome', 'order', 'identify', 'putative', 'selective', 'event', 'may', 'shaped', 'flowering', 'time', 'along', 'ancient', 'migration', 'route', '.']","[0.5206356695223553, 0, 0.2914357060055036, 0, 0, 0, 0.5206356695223553, 0, 0.5206356695223553, 0]",2
"['Material', 'Methods', 'Genetic', 'material', 'sample', '375', 'maize', 'line', 'representing', 'worldwide', 'diversity', 'considered', '[', '30', ']', '.']","[0, 0.15540943195828355, 0.35753645354057284, 0, 0, 0, 0.3859958728506682, 0, 0, 0]",6
"['conformity', 'check', 'newly', 'extracted', 'DNA', 'sample', 'compared', 'reference', 'DNA', 'sample', 'revealed', '10', 'illegitimate', 'strongly', 'divergent', 'sample', 'removed', '(', 'see', 'Data', 'S1', 'Text', 'S1', ')', '.']","[0, 0, 0, 0, 0, 0.12581832609578347, 0, 0, 0, 0]",0
"['Among', '365', 'remaining', 'line', 'genotyped', '50K', 'Illumina', 'array', ',', '29', 'removed', 'since', '10', '%', 'missing', 'data', '5', '%', 'heterozygosity', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0.28181638658312835]",9
"['Among', 'remaining', '336', 'line', 'presented', 'good', 'quality', 'SSR', 'Illumina', 'genotyping', ',', 'panel', 'composed', 'five', 'genetic', 'group', 'according', 'STRUCTURE', 'result', 'obtained', '55', 'SSRs', '[', '30', ']', '.']","[0, 0, 0.6622639566112859, 0, 0.3924340534676997, 0.15942363308370577, 0.20863121991874856, 0, 0, 0]",0
"['respective', 'contribution', 'group', 'calculated', 'sum', 'quantitative', 'assignment', 'line', 'group', ',', 'led', '57', 'Northern', 'Flints', '(', 'NF', ')', ',', '62', 'European', 'Flints', '(', 'EF', ')', ',', '26', 'Iowa', 'Synthetic', 'Stiff', 'Stalks', '(', 'SS', ')', ',', '115', 'Corn', 'Belt', 'Dents', '(', 'CBD', ')', '76', 'tropical', 'line', '(', 'Trop', ')', '.']","[0, 0, 0.21775199689434885, 0, 0, 0.3550352667991963, 0, 0.16860669665352537, 0, 0]",4
"['Overall', ',', '242', 'line', 'assigned', 'one', 'group', '(', 'major', 'contribution', '.80', '%', ')', 'referred', '‘', '‘', 'non-admixed', '’', '’', 'line', '.']","[0, 0, 0.19003921720853476, 0, 0, 0.19003921720853476, 0, 0, 0, 0]",5
"['sub-sample', 'PLOS', 'ONE', '|', 'www.plosone.org', '2', 'August', '2013', '|', 'Volume', '8', '|', 'Issue', '8', '|', 'e71377', 'Genome', 'Scan', 'Flowering', 'Time', 'Adaptation', 'Maize', 'Table', '1', '.']","[1.778260996329541, 0.16288664022919194, 0.17906451280010818, 0, 0, 0, 0.4957999532677809, 0, 0.33291331303858895, 0.22899206991714954]",0
"['Diversity', 'statistic', 'computed', 'using', '29911', 'Panzea', 'SNP', 'marker', 'whole', 'panel', 'five', 'main', 'genetic', 'group', '.']","[0, 0, 0.9050361454971326, 0, 0.2018415334692385, 0.23214290845118005, 0.2018415334692385, 0, 0, 0]",2
"['Group', 'Northern', 'Flint', 'European', 'Flint', 'Iowa', 'Stiff', 'Stalk', 'Corn', 'Belt', 'Dent', 'Tropical', 'Whole', 'panel', 'Abba', 'NF', 'EF', 'SS', 'CBD', 'Trop', 'S1P9', 'b', 'Nq', '57', '62', '26', '115', '76', '336', 'Nq.0.8c', 'Mean', 'Simd', '30', '39', '9', '109', '55', '242', '0.73', '0.70', '0.80', '0.65', '0.67', '0.64', 'e', '0.276', '0.299', '0.214', '0.349', '0.339', '0.36', 'Polymf', '0.84', '0.89', '0.52', '0.98', '0.98', '-', 'aAbb', ':', 'abbreviation', 'describing', 'group', ',', 'bNq', '=', 'gi', 'diq', 'index', 'line', 'q', 'index', 'group', ',', 'diq', 'assignment', 'proportion', 'line', 'group', 'q', 'according', 'STRUCTURE', 'software', '[', '40,41', ']', 'using', '55', 'SSRs', ',', 'Nq', 'number', 'line', 'group', 'q', ';', 'cnumber', 'line', 'assigned', 'group', 'q', 'genome', 'proportion', '0.8', ';', 'dmean', 'similarity', 'within', 'group', ',', 'calculated', 'IBS', '(', 'identity', 'state', ')', ';', 'eexpected', 'heterozygosity', 'inside', 'group', 'computed', 'r-Hierfstat', '[', '46', ']', ';', 'f', 'percentage', 'polymorphic', 'locus', 'within', 'group', ',', ',', 'e', ',', 'fstatistics', 'computed', 'considering', 'line', 'assignment', 'one', 'group', '0.8.', 'doi:10.1371/journal.pone.0071377.t001', 'relatively', 'non-admixed', 'line', 'consisted', '30', 'NF', ',', '39', 'EF', ',', '9', 'SS', ',', '109', 'CBD', '55', 'Trop', '(', 'Table', '1', ')', '.']","[0, 0, 0.4347939006341332, 0, 0.16307690045720652, 0.5444414432790773, 0.11379941624451881, 0.1377062369167521, 0, 0]",7
"['Molecular', 'marker', 'panel', 'maize', 'line', 'described', 'using', 'two', 'different', 'set', 'SSR', 'marker', '.']","[0, 0.2098235840292256, 0.41368446274913623, 0, 0.41368446274913623, 0, 0.6235080467783618, 0, 0, 0]",2
"['first', 'one', 'described', '[', '30', ']', '.']","[0, 0, 0, 0, 0, 0, 0.6370214789141704, 0, 0, 0]",6
