Investigation,Study,Person,Data,Biological,Environment,Event,Observation Unit,Sample,Observed Variable
Genome Scan Flowering Time Adaptation Maize Genes located vicinity QTLs region presenting non-neutral pattern identified according maize annota- tion version 2 ( maizegenome.org ) .,conducted association study focused female ( FFLW ) male flowering ( MFLW ) date anthesis-to-silking date interval ( ASI ) .,,Genome Scan Flowering Time Adaptation Maize Genes located vicinity QTLs region presenting non-neutral pattern identified according maize annota- tion version 2 ( maizegenome.org ) .,"doi:10.1371/journal.pone.0071377.g002 pas P-value distribution , Figure S18 Text S1 ) .",locus locus-specific component BayeScan us posterior odds ( PO ) instead Bayes factor make decision chance locus selection .,"ratio posterior probability PO~ P ( M2=N ) P ( M1=N ) , M1 M2 model without selection N number locus tested .","value highly correlated Q-values , minimum FDR locus may deemed significant .","order determine extent variation LD [ 33 ] estimate number marker required cover genome future exhaustive genome scan , looked LD using unbiased measure extract part correlation allelic frequency due intrinsic structure panel [ 34 ] .",contribute efficient genomic prediction flowering time facilitate dissemination diverse maize genetic resource wide range environment .
"Considering threshold , 673 marker associated FFLW8 , 843 MFLW8 145 ASI8 .",selection test association study result considered identify key genomic region involved adaptation .,,"Conclusion suggests selection , data generally show major difference flowering time among inbred maize line caused gene relatively marked effect ( Vgt1-Vgt2/ZCN8 , centromere chro- mosome 8 ) , cumulative effect many locus small intermediate effect .","doi:10.1371/journal.pone.0071377.g003 ( 1027 , P- marker slightly lower P-values value,1025 ) close NAM association [ 4 ] included meta QTLs [ 10 ] majority ( # 4 , # 6 , # 17 , # 21 , # 22 ) .","value highly correlated Q-values , minimum FDR locus may deemed significant .","presence individual different genetic origin within panel produce LD unlinked locus ( long-range LD ) , simply difference allele frequency along genome , measure may lead underestimation number marker needed whole genome association genetics scan .","Days anthesis male flowering ( MFLW ) day silking female flowering ( FFLW ) anthesis silking interval ( ASI ) measured thermal time ( GDD : growing degree-days ) according [ 56 ] , parameter value ( Tb = 8u = 30uC ) maximized correlation site ( MFLW8 , FFLW8 , ASI8 ) .",conducted association study focused female ( FFLW ) male flowering ( MFLW ) date anthesis-to-silking date interval ( ASI ) .,"Despite limited loss diversity , phenotype large-scale migration/ dramatically modified domestication , adaptation selection cycle gave rise modern hybrid ."
"Estimated genetic variance associated locus significant effect ranged 0 ( discarding limited number low negative value ) 34 % , three-quarters value 10 % ( Figure S20 Text S1 ) according linear mixed model ( lmm ) 0 9 % according linear model ( lm ) .","Diversity level revealed 50K Illumina array within among genetic group Diversity parameter estimated total panel within five main genetic group determined 55 SSRs [ 30 ] , considering 242 non-admixed line ( assigned different group threshold .0.8 ) set 29911 Panzea marker .",,"frequency Supporting Information Text S1 Supporting Text including Data S1 , Figures S1– S10 , Figures S13–S22 , Tables S1–S7 .",": PLOS ONE | www.plosone.org 11 August 2013 | Volume 8 | Issue 8 | e71377 stated , level polymorphism observed CBD presented limited loss compared tropical material .","Days anthesis male flowering ( MFLW ) day silking female flowering ( FFLW ) anthesis silking interval ( ASI ) measured thermal time ( GDD : growing degree-days ) according [ 56 ] , parameter value ( Tb = 8u = 30uC ) maximized correlation site ( MFLW8 , FFLW8 , ASI8 ) .",rate imputation error minimal ( 3.5 % ) Genome Scan Flowering Time Adaptation Maize number cluster .,estimated group adjusted mean predicted value hypothetic pure line would assigned 100 % five group .,Material Methods Genetic material sample 375 maize line representing worldwide diversity considered [ 30 ] .,"particular , flowering time evolved adapt short growing season , temperate long day low temperature climate ."
"PZB02155.1 1 Mb apart ( 124657056 bp ) , found associated flowering time NAM population [ 4 ] panel including structure model .","minor allele frequency ( MAF ) , observed ( HO ) , expected ( ) heterozygosity , differentiation ( FST ) corre- sponding ratio inter-group diversity total genetic diversity according Nei [ 43,44 ] calculated locus overall level .",,Analyzed data : SB .,"confirms EF recent group mainly derived NF introduction Europe subsequent hybridization material tropical origin , probably different used form CBD [ 84 ] .",estimated group adjusted mean predicted value hypothetic pure line would assigned 100 % five group .,"SNP , estimated number line sharing five major haplotype represented probability haplotype switch one SNP another along genetic recombination rate .","Second , forward variable selection applied 96 marker P- value,1025 , using mixed linear model used ( Q55SSRs+KIBS ( 94SSRs ) ) .",conformity check newly extracted DNA sample compared reference DNA sample revealed 10 illegitimate strongly divergent sample removed ( see Data S1 Text S1 ) .,"Among germplasm available , maize landraces , time planting mature grain stage range 2 11 month [ 3 ] ."
"According projection flowering time meta QTL [ 10 ] maize sequence , seven associated marker found meta QTLs ( # 2 , # 4 , # 5 , # 6 , # 15 , # 16 , # 17 ) .","Phenotypic data three different whole panel location tested ( Germany_Einbeck : 52uN , 10uE , France_Gif-sur-Yvette : 49uN , 2uE , Saint-Martin-de-Hinx : 43uN , 1.3uW ) .",,"Maenhout , De Baets B , Haesaert G ( 2009 ) CoCoa : software tool estimating coefficient coancestry multilocus genotype data .",colinearity marker genetic group family related material probably also explains highest absolute effect corresponded marker extreme frequency ( Figure 3 ) .,"Second , forward variable selection applied 96 marker P- value,1025 , using mixed linear model used ( Q55SSRs+KIBS ( 94SSRs ) ) .","order eliminate increasing number line procedure , used genotype imputed FastPHASE .",compared value proportion genetic variance obtained linear model includes structure .,"Among remaining 336 line presented good quality SSR Illumina genotyping , panel composed five genetic group according STRUCTURE result obtained 55 SSRs [ 30 ] .",PLOS ONE | www.plosone.org 1 August 2013 | Volume 8 | Issue 8 | e71377 optimal moment Flowering time play key role acclimation plant different environment integrating diverse environmental endogenous signal control transition vegetative reproductive phase .
"Several associated marker close ZCN gene locus associated flowering time study ( # 4 5 Mb ZCN4 , 400 kb NAM PHM3457.6 , meta QTL 2_4 ; # 17 , 200 kb NAM PHM4748.16 , 1 Mb ZCN7 , meta QTL 6_3 ; # 23 5000 bp ZCN8 , 1 Mb NAM PZB02155.1 ; # 16 , meta QTL 6_1 , 1 Mb ZCN15 , 5 Mb NAM PZA00355.2 ; # 5 : centromere chromosome 2 , 5 Mb ZCN21 , meta QTL 2_4 ) .",French location evaluated 3 year ( 2002–2004 ) Einbeck location 1 year ( 2005 ) .,,"Pritchard JK , Stephens , Donnelly P ( 2000 ) Inference population structure using multilocus genotype data .",Individual association signal therefore examined light association independent experiment and/or biological functional information .,compared value proportion genetic variance obtained linear model includes structure .,relative quality statistical model estimated data set Akaike Information Criterion ( AIC ) penalizes likelihood increasing number parameter estimate ( number structure covariates + number marker + polygenic variance + residual variance ) .,"Polymorphism MAF distribution group basis Among 43224 polymorphic SNP marker 29911 Panzea SNPs ( see Material Methods marker sampling detail ) , 4 % displayed rare allele ( MAF,0.05 ) .",sub-sample PLOS ONE | www.plosone.org 2 August 2013 | Volume 8 | Issue 8 | e71377 Genome Scan Flowering Time Adaptation Maize Table 1 .,"synchrony male female flowering also important adaptive trait maize high asynchrony result yield loss , especially modern uniform variety [ 5 ] ."
"LD , diversity differentiation marker associated FFLW8 region selection Diversity FST higher marker associated FFLW8 ( P-value,1025 ) compared part genome ( 0.42 compared 0.36 , FST 0.27 compared 0.16 ) .",Lines repeated twice location using complete block design .,,"Falush , Stephens , Pritchard JK ( 2003 ) Inference population structure using multilocus genotype data : linked locus correlated allele frequency .",broader integration biological informa- tion annotation regulatory element gene pathway would great value gaining insight control flowering time .,"Polymorphic rate significantly different group ( pairwise Chi-squared test P-value,10216 ) .",Extent linkage disequilibrium number marker needed reach average r2 = 0.1 individual chromosome whole genome .,"distribution MAF 29911 Panzea SNPs showed deficit rare allele ( MAF,0.1 ) compared frequency class ( Figure S3 Text S1 ) .","Group Northern Flint European Flint Iowa Stiff Stalk Corn Belt Dent Tropical Whole panel Abba NF EF SS CBD Trop S1P9 b Nq 57 62 26 115 76 336 Nq.0.8c Mean Simd 30 39 9 109 55 242 0.73 0.70 0.80 0.65 0.67 0.64 e 0.276 0.299 0.214 0.349 0.339 0.36 Polymf 0.84 0.89 0.52 0.98 0.98 - aAbb : abbreviation describing group , bNq = gi diq index line q index group , diq assignment proportion line group q according STRUCTURE software [ 40,41 ] using 55 SSRs , Nq number line group q ; cnumber line assigned group q genome proportion 0.8 ; dmean similarity within group , calculated IBS ( identity state ) ; eexpected heterozygosity inside group computed r-Hierfstat [ 46 ] ; f percentage polymorphic locus within group , , e , fstatistics computed considering line assignment one group 0.8. doi:10.1371/journal.pone.0071377.t001 relatively non-admixed line consisted 30 NF , 39 EF , 9 SS , 109 CBD 55 Trop ( Table 1 ) .","Compared specie like Arabidopsis [ 6 ] sorghum [ 7 ] rice [ 8,9 ] , natural variation limited number gene shown large effect , flowering time architecture maize complex ."
"Besides diversity trend , region associated flowering time also displayed higher LD ( r2 = 0.2 compared 0.14 entire genome ) lower recombination ( 0.02 compared 0.04 ) .","Days anthesis male flowering ( MFLW ) day silking female flowering ( FFLW ) anthesis silking interval ( ASI ) measured thermal time ( GDD : growing degree-days ) according [ 56 ] , parameter value ( Tb = 8u = 30uC ) maximized correlation site ( MFLW8 , FFLW8 , ASI8 ) .",,"Scheet P , Stephens ( 2006 ) fast flexible statistical model large-scale population genotype data : Applications inferring missing genotype haplotypic phase .",fact early allele rare tropical material suggests generally beneficial tropical condition since excessively shorten plant cycle .,lower genetic diversity value obtained NF ( 0.28 ) EF ( 0.30 ) genetic group relative CBD ( 0.34 ) Trop ( 0.33 ) .,number reported bracket indicates number equidistant marker would needed reach average r2 0.1 adjacent marker ; bnumber marker used estimate LD extent chromosome whole genome .,"Polymorphic rate significantly different group ( pairwise Chi-squared test P-value,10216 ) .",Similarity Structure matrix Similarity .,"Mutants , however , exhibit le severe flowering time defect compared ID1 ."
random effect putatively deflated LD marker tested fixed effect distant marker associated variation trait .,"global ANOVA data performed test location genotype-by-location interaction signifi- genotype , cance .",,"Marth GT , Czabarka E , Murvai J , Sherry ST ( 2004 ) allele frequency spectrum genome-wide human variation data reveals signal differential demographic history three large world population .",consistent development hybridization Southern Dent material ( derivated tropicals ) Northern Flints ( see [ 105 ] review ) .,"tested Mantel test , correlation significant P-value 10216 .","Extent LD estimation number marker needed association genetics average , entire genome , LD decreased r2 = 0.1 200 kb according Hill Weir model [ 53 ] ( Table 2 ) .",lower genetic diversity value obtained NF ( 0.28 ) EF ( 0.30 ) genetic group relative CBD ( 0.34 ) Trop ( 0.33 ) .,Structure .,"Another major factor flowering time variation , Vgt1 , detected linkage-based QTL analysis association genetics study [ 4,10,19,20,21,22,23,24 ] ."
"report information marker associated flowering trait P-value,1025 ( Table S8 ) , highlighting marker P-value,1027 ( Table 3 ) , represents break point logarithm cumulative P-value curve .","association analysis , considering genotype-by- location interaction low compared genotype effect , estimated adjusted mean genotype total trial network .",,( 2003 ) Maize introduction Europe : history reviewed light molecular data .,( 2008 ) Efficient control population structure model organism association mapping .,"Admixture level slightly higher Panzea SNPs ( Figure S9 Text S1 ) , mean assignment main genetic group 0.82 average 55 SSRs 0.80 94 SSRs ( significantly different according Wilcoxon Signed-Rank Test considering sampling individual , P-value = 0.24 ) , 0.70 29911 Panzea SNPs ( distribution significantly different SSRs , P-value,10216 ) .","probably relates large number marker high LD region , consequently important contribution KIBS ( 30KSNPs ) kinship estimation ( Rincent et al. , pers .","Wilcoxon Signed-Rank Test assume normal distribution [ 67 ] showed pairwise within-group per-loci diversity distribu- tions significantly different , also compared global diversity panel ( P-values,10215 ) .",Population structure investigated order define suitable covariates association genetics model investigate genetic diversity trend among genetic group .,"investigation identify main factor controlling maize flowering time panel representative diverse migration route would beneficial : ( ) gain insight adaptation mechanism changing environment , ( ii ) identify allele introgression existing variety order adapt better predict different environmental condition , ( iii ) flowering time benefit global crop management local breeding program , since flowering time often considered major covariate yield estimation ."
"suggests several SNP marker necessary region tag allelic series gradient effect ( see [ 4,32 ] ) haplotype based model considered investigation .",Group assignment consistent 55 SSRs 29911 Panzea SNPs structure level ranging 2 5 ( Figure S8 Text S1 ) .,,,,"According Hierfstat , 86 % FST value significant ( P-value,0.05 , 1000 permutation ) 5 % 0.42 ( Figure S10 Text S1 , see Figures S11 S12 visualization along genome ) .","Estimated genetic variance associated locus significant effect ranged 0 ( discarding limited number low negative value ) 34 % , three-quarters value 10 % ( Figure S20 Text S1 ) according linear mixed model ( lmm ) 0 9 % according linear model ( lm ) .","tested Mantel test , correlation significant P-value 10216 .","thus used two different set SSR marker ( 55 SSRs 94 SSRs ) STRUCTURE [ 40,41 ] software .","choice suitable model consider complexity trait architecture term relative individual effect locus possible existence non-additive effect due interaction genetic background ( GxQ epistasis ) gene-environment interaction ( GxE ) [ 25,26,27 ] ."
